age;education.num;race;sex;hours.per.week;income
90;9;0;1;40;-1
82;9;0;1;18;-1
66;10;1;1;40;-1
54;4;0;1;40;-1
41;10;0;1;40;-1
34;9;0;1;45;-1
38;6;0;0;40;-1
74;16;0;1;20;1
68;9;0;1;40;-1
41;10;0;0;60;1
45;16;1;1;35;1
38;15;0;0;45;1
52;13;0;1;20;1
32;14;0;0;55;1
51;16;0;0;40;1
46;15;0;0;40;1
45;7;0;0;76;1
57;14;0;0;50;1
22;12;1;0;40;1
34;13;0;0;50;1
37;13;0;0;40;1
29;7;0;1;42;-1
61;9;0;1;25;-1
51;10;0;0;40;-1
61;9;0;0;32;-1
21;11;0;0;40;-1
33;2;0;0;32;-1
49;3;0;0;40;-1
37;6;0;0;50;1
38;6;0;0;90;1
23;10;0;0;40;1
59;6;0;1;50;1
52;15;0;0;60;1
51;13;0;0;50;1
60;9;1;0;50;1
63;16;0;1;60;1
53;9;0;0;48;1
51;15;0;1;50;1
37;16;0;1;60;1
54;14;0;1;40;1
44;13;0;0;50;1
43;14;0;1;40;1
51;10;0;1;40;1
43;14;0;1;40;1
71;9;0;0;15;-1
48;13;0;1;70;1
71;9;0;0;52;-1
73;9;2;0;40;-1
68;10;0;1;40;-1
67;10;0;0;40;-1
40;15;0;0;45;1
50;9;0;1;72;1
51;11;0;0;39;1
42;10;0;1;40;1
39;14;0;0;45;1
32;13;0;0;50;1
53;10;0;0;45;1
40;10;0;0;40;1
38;13;0;1;45;1
33;11;0;0;42;1
43;12;0;0;70;1
50;7;0;0;40;1
44;10;0;1;6;1
51;13;2;0;40;1
41;15;0;0;40;1
60;11;0;0;70;1
37;14;0;0;60;1
55;15;0;0;35;1
39;13;0;0;60;1
42;15;0;0;60;1
49;13;0;0;55;1
47;9;0;0;50;1
41;15;0;0;45;1
55;13;0;0;50;1
39;14;0;1;65;1
42;13;0;0;60;1
41;11;0;0;12;1
46;14;0;0;65;1
40;14;0;0;45;1
32;13;0;0;48;1
41;10;0;0;55;1
60;15;0;0;80;1
31;14;0;0;70;1
58;10;0;0;40;1
37;13;0;0;50;1
44;13;0;0;50;1
39;15;0;0;50;1
43;15;2;0;55;1
55;13;0;0;50;1
44;14;0;0;55;1
39;15;2;0;67;1
46;13;0;0;40;1
39;10;0;0;99;1
62;13;0;0;60;1
31;9;0;1;40;1
46;13;2;0;35;1
46;15;0;0;80;1
39;11;0;0;40;1
39;15;0;0;99;1
59;16;0;0;45;1
50;15;0;0;60;1
46;16;0;0;55;1
53;13;0;0;40;1
50;15;0;0;30;1
41;15;0;1;55;1
36;13;0;0;45;1
38;15;0;0;90;1
54;10;0;0;50;1
50;13;0;1;20;1
47;13;0;0;60;1
47;15;0;0;45;1
67;13;0;0;40;1
67;13;0;0;75;1
72;16;0;0;25;1
72;16;0;0;6;1
46;14;0;0;50;1
78;13;0;0;40;1
71;13;0;0;60;1
83;13;0;0;55;1
68;14;0;0;40;1
26;11;0;0;45;-1
68;16;0;0;60;1
49;9;0;1;40;1
36;9;0;0;60;-1
70;13;0;0;12;1
27;10;1;1;20;-1
35;10;0;0;40;-1
23;9;0;0;40;-1
81;9;0;0;26;1
66;16;0;0;25;1
71;9;0;0;45;1
68;10;0;0;55;1
68;14;0;0;42;1
65;13;0;0;40;1
52;9;1;0;40;-1
40;12;0;0;50;-1
68;13;0;0;35;1
21;10;0;0;48;-1
35;9;0;0;40;-1
70;13;0;0;50;1
61;9;0;0;50;-1
65;9;0;0;65;-1
46;3;0;1;45;-1
26;13;0;0;55;-1
59;9;0;0;40;-1
61;3;1;0;40;-1
60;13;0;1;40;-1
49;10;0;0;50;-1
34;13;2;0;40;-1
25;13;0;1;35;-1
55;10;1;1;45;-1
59;9;1;1;40;-1
28;10;0;0;40;-1
43;11;0;1;36;-1
56;14;0;1;60;-1
41;9;0;0;40;-1
42;9;1;1;40;-1
28;15;0;0;40;-1
40;15;0;1;35;-1
69;13;0;0;40;1
66;9;0;0;40;-1
69;3;0;0;40;-1
55;14;0;1;40;-1
57;9;0;0;40;-1
20;10;0;0;10;-1
33;9;0;0;84;-1
30;10;2;0;40;-1
40;13;2;1;48;-1
38;10;0;0;55;1
46;12;0;0;38;1
29;13;0;1;45;1
57;13;0;0;40;-1
39;9;0;0;42;1
47;13;0;0;40;1
26;13;0;0;45;1
27;9;0;0;50;-1
23;13;0;1;40;1
34;14;0;0;50;-1
33;8;0;0;42;-1
38;14;0;1;60;-1
57;10;0;1;38;1
36;9;0;0;70;-1
44;13;0;0;40;1
49;16;0;1;50;1
44;10;0;0;60;-1
55;10;0;0;62;1
45;9;0;0;44;1
48;9;0;1;40;1
31;13;0;0;45;1
55;9;0;1;40;1
70;10;0;0;40;1
70;14;0;0;8;1
73;13;0;0;40;1
72;15;0;0;28;1
31;9;0;1;40;-1
28;6;0;1;35;-1
23;13;0;0;40;1
49;5;0;0;40;1
27;10;0;0;40;1
90;9;1;0;40;-1
68;9;0;1;30;-1
65;9;0;1;59;-1
65;9;0;1;10;-1
67;13;0;1;5;-1
66;13;1;1;25;-1
24;10;0;0;24;-1
44;10;0;0;35;-1
35;10;0;1;40;-1
20;12;0;1;18;-1
38;9;0;0;40;-1
39;10;1;1;40;-1
32;10;0;1;40;-1
42;4;1;0;40;-1
63;9;0;1;40;-1
42;14;2;0;60;1
64;7;0;0;40;-1
28;4;3;0;40;-1
41;11;3;0;84;-1
41;4;0;0;40;-1
58;2;0;0;18;-1
59;10;0;0;40;-1
34;9;0;1;12;-1
45;9;0;0;45;-1
29;9;0;1;40;-1
47;6;0;0;52;-1
40;10;0;0;40;-1
47;3;0;0;50;-1
63;13;0;0;45;-1
41;9;0;0;40;-1
34;10;1;0;40;-1
66;13;0;0;40;1
65;10;0;0;10;1
70;9;0;0;40;1
75;15;0;0;50;1
65;9;0;0;40;1
65;10;1;0;40;1
73;10;0;0;50;1
60;13;2;0;25;-1
68;11;0;0;40;-1
74;9;0;0;20;-1
43;3;2;1;72;-1
19;7;0;0;55;-1
37;9;0;0;40;-1
45;12;2;0;40;-1
64;14;2;0;60;-1
30;9;0;0;40;-1
51;10;0;1;60;-1
35;7;0;0;40;-1
29;9;0;1;20;-1
34;10;0;1;40;-1
41;9;0;0;60;-1
35;10;0;0;45;-1
26;10;0;0;40;-1
54;9;0;0;50;-1
52;9;0;0;40;-1
50;9;0;0;20;-1
31;10;0;0;40;-1
38;9;0;0;40;-1
30;10;0;0;40;-1
34;13;0;0;40;-1
31;10;0;0;57;-1
52;9;0;0;38;-1
54;9;0;0;40;-1
38;9;0;0;44;-1
39;9;0;0;40;-1
29;11;0;0;40;-1
45;9;0;0;40;-1
34;9;0;0;55;-1
38;9;0;0;40;-1
39;6;0;0;40;-1
61;9;0;0;20;-1
43;7;0;0;40;-1
35;10;0;0;40;-1
46;10;0;0;50;-1
38;9;0;0;40;-1
42;9;0;0;48;-1
34;12;0;0;10;-1
29;4;0;0;40;-1
32;7;0;0;30;-1
60;9;0;0;34;-1
49;9;0;0;40;-1
53;9;0;0;45;-1
56;4;0;0;40;-1
48;7;0;0;40;-1
32;13;2;0;40;-1
42;9;0;0;40;-1
32;12;0;0;42;-1
28;12;0;0;40;-1
26;11;0;0;40;-1
59;13;0;0;50;-1
47;13;0;0;30;-1
26;13;0;0;40;-1
41;9;0;0;60;-1
36;9;0;1;40;-1
45;13;0;0;55;-1
30;12;0;0;40;-1
36;9;0;0;40;-1
34;9;0;0;40;-1
53;9;0;0;40;-1
51;9;0;0;45;-1
47;16;0;0;45;-1
19;9;0;0;40;-1
30;9;0;0;42;-1
20;9;0;0;40;-1
42;14;0;0;60;-1
31;7;0;0;40;-1
33;13;0;0;40;-1
25;12;0;1;30;-1
20;9;0;0;40;-1
23;9;1;0;40;-1
55;9;1;1;40;-1
41;10;0;0;50;-1
54;9;0;0;35;-1
25;9;0;0;50;-1
19;10;0;1;40;-1
24;9;0;1;37;-1
56;13;1;0;65;-1
21;10;0;1;40;-1
34;9;1;0;40;-1
19;9;0;0;40;-1
21;10;0;0;45;-1
48;9;0;1;40;-1
34;13;0;0;40;-1
31;9;0;0;40;-1
36;9;1;1;40;-1
27;9;0;0;40;-1
27;10;2;0;40;-1
35;13;0;1;65;-1
31;13;0;0;60;-1
27;9;1;0;40;-1
28;12;0;1;40;-1
42;9;0;0;46;-1
44;10;0;0;45;-1
41;13;0;0;56;-1
28;13;0;1;35;-1
41;9;0;1;40;-1
35;6;1;1;40;-1
58;14;0;1;45;-1
40;9;0;0;48;-1
31;11;0;0;60;-1
30;9;0;1;40;-1
32;10;2;0;40;-1
25;10;0;0;40;-1
34;9;0;0;40;-1
56;10;0;1;40;-1
45;9;0;0;40;-1
50;9;0;0;40;-1
27;6;0;0;40;-1
51;10;0;0;40;1
40;12;0;0;60;1
41;14;0;0;65;1
49;14;0;0;45;1
37;11;0;0;40;1
36;13;0;1;45;1
35;15;0;0;80;1
29;9;0;1;25;1
50;13;0;1;40;1
46;13;0;0;40;1
44;9;0;0;45;1
42;14;0;0;40;1
38;15;0;0;50;1
45;13;0;0;55;1
43;14;0;0;60;1
47;15;0;0;60;1
58;15;0;0;50;1
48;15;0;0;40;1
42;13;0;0;48;1
55;14;0;0;50;1
51;6;0;0;40;1
32;14;1;0;40;1
45;13;0;0;50;1
56;14;0;0;44;1
38;14;0;0;60;1
45;11;0;0;50;1
49;14;0;1;40;1
36;9;0;0;40;1
49;14;0;0;40;1
30;16;2;0;40;1
42;15;0;0;50;1
55;14;0;0;40;1
34;13;0;0;45;1
54;16;0;0;50;1
42;13;0;0;70;1
25;13;0;0;40;1
55;9;0;0;45;1
58;14;0;0;50;1
62;9;0;0;60;1
43;15;0;0;40;1
57;14;1;1;40;1
42;16;0;0;60;1
63;13;2;0;32;1
47;15;0;0;50;1
37;13;0;0;50;1
40;13;0;0;60;1
43;13;0;0;50;1
43;15;0;0;70;1
41;15;0;0;60;1
32;15;0;0;60;1
47;13;0;0;40;1
39;10;0;0;60;1
53;10;0;0;40;1
34;13;0;0;45;1
36;13;0;0;40;1
47;14;0;0;41;1
52;11;0;0;45;1
40;15;2;0;60;1
42;13;0;0;40;1
51;14;0;0;40;1
55;14;0;0;20;1
38;9;0;0;99;1
52;10;0;0;50;1
60;9;0;0;40;1
55;11;0;0;50;1
47;14;1;0;50;1
46;14;0;0;40;1
35;14;0;0;45;1
59;13;0;0;50;1
57;14;0;0;45;1
46;10;0;0;50;1
46;14;0;0;40;1
52;9;0;0;40;1
45;16;0;1;30;1
37;13;0;0;40;1
46;14;0;0;45;1
44;13;1;0;50;1
45;11;0;0;50;1
43;9;0;0;52;1
54;14;0;0;40;1
50;14;0;0;40;1
51;13;0;0;60;1
45;13;0;0;40;1
36;14;0;0;60;1
27;13;0;0;50;1
36;13;0;0;35;1
53;14;0;0;55;1
51;14;0;0;35;1
28;13;0;1;24;1
47;10;0;0;40;1
45;13;0;0;60;1
45;14;0;1;35;1
39;15;0;0;50;1
39;13;0;0;40;1
55;14;0;0;40;1
62;10;0;0;98;1
49;13;2;0;50;1
53;14;0;0;40;1
31;14;0;0;48;1
42;9;0;0;60;1
39;13;0;0;45;1
60;13;0;0;45;1
26;15;0;0;40;1
37;14;0;0;40;1
45;13;0;0;60;1
37;12;0;0;45;1
32;13;0;0;45;1
39;9;0;0;40;1
58;6;0;1;35;1
45;14;0;0;43;1
41;13;0;0;45;1
36;9;0;0;65;1
51;14;0;0;60;1
39;10;0;0;62;1
56;15;0;0;50;1
53;9;1;0;40;1
40;11;0;1;15;1
57;14;1;0;40;1
50;9;0;0;35;1
34;15;0;0;55;1
35;13;0;1;30;1
30;9;0;0;15;1
53;14;0;0;55;1
31;16;0;0;70;1
37;13;0;0;60;1
34;13;0;0;50;1
36;14;0;0;50;1
40;13;0;0;50;1
51;10;0;0;60;1
33;9;0;0;45;1
40;16;0;1;20;1
50;4;0;0;63;1
46;14;0;0;60;1
54;16;0;0;50;1
39;14;0;1;24;1
54;10;0;0;40;1
31;16;0;0;99;1
51;14;0;0;50;1
55;16;0;0;55;1
36;14;0;0;40;1
41;13;2;0;60;1
56;10;0;1;50;1
38;13;0;0;40;1
47;9;0;0;45;1
39;14;0;0;45;1
59;13;0;0;50;1
54;16;0;0;43;1
54;13;0;1;35;1
31;13;0;0;55;1
59;10;0;0;48;1
46;14;0;0;50;1
57;16;0;0;40;1
36;14;0;1;44;1
44;13;0;0;40;1
33;15;0;0;50;1
54;10;0;0;18;1
55;14;0;0;60;1
36;14;0;0;50;1
49;15;0;1;60;1
41;15;0;0;50;1
40;16;2;0;45;1
43;13;0;0;50;1
39;14;0;1;20;1
26;13;0;1;40;1
48;15;0;0;45;1
43;13;0;0;50;1
